Ch1 Amplitude,Ch2 Amplitude,Cluster
963.9056,715.833862,1
1058.99182,833.7416,1
1059.86169,857.378357,1
1071.49683,824.9884,1
1074.164,838.5791,1
1082.476,908.0733,1
1090.83459,822.040955,1
1092.17188,812.2248,1
1093.48682,875.219543,1
1099.33179,953.4192,1
1101.19836,769.375854,1
1102.36682,907.817932,1
1102.77344,922.814,1
1107.528,899.710938,1
1108.47388,881.1072,1
1110.00769,784.618469,1
1111.89917,780.4601,1
1113.14941,946.619446,1
1116.71619,865.472168,1
1117.353,838.6447,1
1117.51575,866.6082,1
1117.68628,860.2768,1
1117.8667,894.0463,1
1118.50183,828.6864,1
1118.95886,827.2491,1
1119.23389,994.4329,1
1119.29456,993.579468,1
1121.35669,893.859253,1
1121.367,968.8051,1
1121.4126,752.7008,1
1121.544,886.528137,1
1122.72754,957.1555,1
1123.18225,907.178162,1
1123.50647,818.4835,1
1124.43726,1084.88049,1
1127.03931,900.941467,1
1127.63733,969.980042,1
1129.50427,845.337646,1
1129.96472,958.0654,1
1130.28479,944.957336,1
1130.35486,938.380554,1
1130.46863,830.9552,1
1131.12842,1002.09155,1
1131.5415,939.168335,1
1131.82678,831.861755,1
1132.51086,933.5953,1
1132.53613,821.62146,1
1133.31189,1003.61139,1
1133.50964,1003.08862,1
1133.7074,968.3236,1
1134.171,929.7123,1
1135.04907,879.979248,1
1135.47583,908.3124,1
1135.67407,953.850464,1
1135.7854,901.0454,1
1135.87634,833.893,1
1136.58752,889.2878,1
1137.213,897.305847,1
1137.66272,924.8751,1
1138.01953,988.0707,1
1138.244,957.0473,1
1138.49121,932.7183,1
1138.701,919.711365,1
1138.76721,950.2699,1
1139.02417,921.5254,1
1139.06409,1007.00385,1
1139.80786,941.52124,1
1139.81958,860.712341,1
1139.99072,945.4676,1
1140.68628,928.4134,1
1140.90625,1034.46008,1
1141.69019,987.9909,1
1142.04932,861.368652,1
1142.19519,1028.746,1
1142.47009,929.369568,1
1143.05334,914.015869,1
1143.31226,788.6228,1
1144.90869,905.2641,1
1145.04492,958.4195,1
1145.336,857.251,1
1145.85364,935.9985,1
1145.91589,887.284851,1
1146.3009,871.3051,1
1146.39331,990.6174,1
1146.777,911.8334,1
1146.89,896.900757,1
1147.0177,982.533,1
1147.221,1052.68494,1
1147.48438,956.9085,1
1147.53711,1012.95166,1
1147.65979,1011.49591,1
1147.83716,924.9489,1
1148.0011,876.7686,1
1148.16467,863.4036,1
1148.61169,941.774963,1
1148.65393,994.1297,1
1148.904,919.406738,1
1149.04712,899.483459,1
1149.16919,1029.97083,1
1149.298,1017.8692,1
1149.32336,837.797668,1
1150.0188,927.742249,1
1150.04456,918.6514,1
1150.33093,950.1778,1
1150.57825,918.3262,1
1150.701,982.7541,1
1150.73523,999.002441,1
1150.95093,914.1018,1
1151.0481,1016.52203,1
1151.54553,887.2361,1
1151.57751,883.0056,1
1151.7124,872.9317,1
1152.04712,992.873352,1
1152.0863,1022.72321,1
1152.63525,972.541443,1
1152.71118,1011.4754,1
1152.79614,936.3229,1
1152.95251,878.1531,1
1153.04712,987.5004,1
1153.19055,980.553955,1
1153.23975,877.3488,1
1153.40247,860.4882,1
1153.40955,939.8139,1
1153.78235,881.3008,1
1153.84937,924.9319,1
1154.15967,918.7827,1
1154.393,880.224854,1
1154.43494,952.904968,1
1154.7262,848.6753,1
1154.91638,932.207336,1
1155.04346,828.567444,1
1155.04492,1068.97363,1
1155.093,950.5473,1
1155.16833,931.689331,1
1155.33118,963.303955,1
1155.62231,982.9075,1
1155.79553,944.88916,1
1156.05493,987.5042,1
1156.34558,932.3362,1
1156.36731,974.852966,1
1156.41223,997.5298,1
1156.65259,1022.15094,1
1156.73364,969.0885,1
1157.08154,971.013367,1
1157.1377,1012.35529,1
1157.33044,950.982849,1
1157.54651,1002.11407,1
1157.62122,986.4537,1
1157.6593,855.4171,1
1157.79224,1007.84229,1
1157.83984,946.692,1
1157.86328,922.588135,1
1157.96082,993.9547,1
1158.20068,1021.247,1
1158.41187,959.7458,1
1158.5304,909.3912,1
1158.66235,817.8067,1
1158.93359,998.622742,1
1159.22266,903.725342,1
1159.29626,941.8374,1
1159.307,901.9575,1
1159.39453,905.7382,1
1159.43579,878.7223,1
1159.60266,952.873047,1
1159.62817,1020.82043,1
1159.67261,943.4995,1
1159.67993,836.9339,1
1159.829,1005.17188,1
1159.84619,902.787537,1
1159.93591,1005.50671,1
1160.01758,1028.218,1
1160.10681,974.355,1
1160.12231,908.847046,1
1160.21838,1025.3761,1
1160.51709,1002.50903,1
1160.54211,990.2561,1
1160.696,950.4108,1
1160.92688,971.9453,1
1161.00635,1009.02368,1
