Ch1 Amplitude,Ch2 Amplitude,Cluster
799.830139,1047.9845,1
815.482239,1146.715,1
816.6681,1098.82458,1
819.3759,1084.59082,1
821.8444,1064.16052,1
826.1162,1055.99329,1
826.763367,1112.38623,1
827.4648,1116.51257,1
829.7338,1156.96851,1
830.2044,1142.528,1
830.6868,1085.13806,1
830.9665,1089.05713,1
831.3061,1098.05774,1
832.102051,1087.96216,1
832.8198,1088.773,1
832.962463,1133.08264,1
833.4596,1002.91852,1
836.213562,1034.56506,1
837.697632,1128.75525,1
837.8199,1143.4928,1
839.183,1147.75183,1
839.3855,1212.651,1
839.8979,1144.29932,1
840.09906,1056.21021,1
840.186157,1139.03833,1
842.1917,1122.49072,1
843.3906,1076.22241,1
843.432739,1077.39514,1
843.709045,1137.35767,1
843.8607,1152.59985,1
845.074341,1075.75378,1
845.123,1081.2052,1
846.6304,1095.84106,1
846.8349,1089.92615,1
846.9132,1103.59534,1
847.165,1198.251,1
847.5212,1095.54565,1
847.714355,1229.369,1
848.1059,1106.71741,1
848.11615,1144.815,1
848.1296,1105.55981,1
848.3011,1097.82544,1
848.5222,1066.25391,1
849.064758,1062.83362,1
849.7869,1147.08862,1
850.0705,1142.43762,1
850.62384,1145.19275,1
851.114258,1014.1662,1
851.119446,1063.9812,1
851.1907,1092.1571,1
851.2918,1148.71411,1
851.3693,1034.871,1
851.4713,1121.50256,1
851.5541,1108.00452,1
852.0417,1134.17664,1
852.237366,1061.42334,1
852.293152,1020.23993,1
852.311035,1105.64734,1
852.3551,1121.6814,1
852.4787,1054.35986,1
852.4913,1193.61926,1
852.728333,1137.933,1
852.883362,1009.77252,1
852.9914,1049.10449,1
853.1301,1186.74438,1
853.4605,1034.776,1
853.567139,1146.339,1
853.599854,1105.091,1
853.7168,1087.10449,1
853.7361,1059.66345,1
853.783142,1092.85962,1
854.1413,1145.047,1
854.599854,1095.70154,1
854.6793,1130.862,1
854.722168,1156.75037,1
854.9007,1120.594,1
854.9848,1085.43115,1
855.082764,1076.32568,1
855.7597,1116.44556,1
855.8596,1162.56091,1
856.694,1026.43518,1
856.7429,1046.239,1
857.00354,1008.00073,1
857.0383,1141.82739,1
857.0793,1171.36584,1
857.313843,1096.804,1
857.4409,1079.34387,1
857.449951,1107.37781,1
857.532654,1097.58154,1
857.5546,1147.28918,1
857.577332,1425.49683,1
857.6738,1107.61475,1
857.6804,1072.03186,1
857.7797,1093.78564,1
857.895142,1076.25061,1
857.904846,1065.2948,1
857.9355,1069.25989,1
857.979248,1149.89832,1
858.315369,1118.1145,1
858.4436,1103.95654,1
858.454041,1049.77234,1
858.524841,1053.81323,1
858.6114,1129.57739,1
859.083069,1095.07275,1
859.399658,1079.07849,1
859.4386,1118.66174,1
859.6592,1099.53369,1
859.7635,1115.86047,1
859.931641,1119.64453,1
860.0483,1113.377,1
860.454163,1148.87244,1
860.577332,1132.03882,1
860.6461,1121.61133,1
860.7823,1127.338,1
860.8934,1011.59125,1
861.5752,1372.86914,1
861.6616,1010.47186,1
861.686,1128.08569,1
861.7147,1062.91309,1
861.7195,1046.24109,1
861.732239,1077.28015,1
861.855347,1154.72192,1
862.004,1145.14612,1
862.212952,1088.22168,1
862.3571,1137.06555,1
862.4639,1173.481,1
862.619141,1105.8949,1
862.6448,1099.44385,1
862.8255,1129.341,1
862.8382,1118.00659,1
862.852356,1073.80042,1
862.902161,1122.43408,1
863.149,1065.24988,1
863.1887,1209.86584,1
863.19104,1117.34827,1
863.1927,1119.85132,1
863.217651,1074.71265,1
863.2403,1140.73474,1
863.3017,1121.28882,1
863.3332,1146.28162,1
863.406433,1130.45984,1
863.610657,1079.75464,1
863.6469,1079.04651,1
863.670654,1082.35437,1
863.736267,1134.13916,1
863.782532,1103.17676,1
863.962463,1045.70093,1
864.118835,1080.05676,1
864.1396,1110.00024,1
864.1634,1088.36,1
864.417053,1189.25464,1
864.5071,1114.7937,1
864.537537,1224.47986,1
864.5727,1014.23926,1
864.6366,1179.99866,1
864.6451,1075.67175,1
864.6715,1083.42981,1
864.732849,1160.3772,1
864.959656,1122.123,1
864.971436,1079.40259,1
865.00885,1226.64368,1
865.077759,1222.15515,1
865.1562,1109.755,1
865.2924,1098.47949,1
865.4519,1146.64,1
865.4553,931.634949,1
865.4597,1117.99878,1
865.4694,1026.92468,1
865.473267,1132.31409,1
865.503357,1162.588,1
865.505432,1104.66736,1
865.5158,1136.15576,1
865.598,1165.07373,1
865.7414,1089.69751,1
865.9744,1155.0116,1
866.159,1127.32983,1
866.1988,1133.66919,1
866.2093,1170.64038,1
866.2251,1111.16138,1
866.36554,1106.163,1
866.494751,1094.628,1
866.5421,1145.43774,1
866.549,1087.7467,1
866.589,1071.48914,1
866.622437,1109.4231,1
866.9186,1142.12585,1
866.933838,999.101135,1
867.01355,1011.87482,1
867.1454,1047.23938,1
867.1471,1111.70764,1
867.2581,996.187,1
867.331238,1164.855,1
867.4623,1125.75891,1
867.663635,1119.72278,1
867.675354,1110.40674,1
867.837158,1051.09338,1
867.961731,1101.758,1
867.9838,1011.16,1
868.1438,1110.091,1
868.1642,1178.77722,1
868.217,1108.72815,1
