Ch1 Amplitude,Ch2 Amplitude,Cluster
1045.35071,823.4956,1
1084.33044,860.259338,1
1099.51416,974.339,1
1104.629,937.394653,1
1105.99072,976.28064,1
1110.98438,962.0062,1
1112.68237,975.7965,1
1116.08838,869.6788,1
1124.00281,1068.99109,1
1124.01233,922.32605,1
1125.72363,970.1775,1
1125.72522,1017.3371,1
1126.44153,976.5166,1
1126.75684,940.3229,1
1127.30127,1037.03613,1
1128.148,1006.47894,1
1130.1123,916.475952,1
1130.34131,1009.21729,1
1130.37744,950.1269,1
1130.42944,996.0954,1
1131.10681,994.7825,1
1131.4624,1017.2832,1
1131.63538,999.0946,1
1131.6593,967.6082,1
1132.00366,931.3966,1
1132.23389,924.647034,1
1132.54553,841.1392,1
1132.90222,1063.47717,1
1132.91565,1016.11383,1
1133.13208,854.170044,1
1134.03955,992.8833,1
1134.15125,986.232056,1
1134.74744,942.784546,1
1134.97717,963.566162,1
1135.09473,934.4209,1
1135.19922,1021.66052,1
1135.46545,885.1391,1
1135.56677,1006.73328,1
1135.5752,953.5428,1
1135.90332,1000.01025,1
1136.14087,969.2977,1
1136.22021,977.078552,1
1137.08252,959.595032,1
1137.09338,1039.769,1
1137.56836,975.9011,1
1137.88892,953.455933,1
1138.06409,1036.8009,1
1138.09546,961.4765,1
1138.2345,985.642944,1
1138.58936,935.1257,1
1138.673,927.0976,1
1139.38977,1016.06262,1
1139.41455,922.0509,1
1139.93494,950.215149,1
1140.33447,1007.373,1
1140.45679,1001.11066,1
1140.72266,926.279236,1
1140.73181,989.809143,1
1140.80566,953.5493,1
1140.85,938.5239,1
1141.19189,977.4597,1
1141.22034,1011.09924,1
1141.40955,901.852234,1
1141.51135,943.352,1
1141.91919,970.9114,1
1142.26892,922.4518,1
1142.84949,960.2519,1
1142.85693,970.1376,1
1143.29492,933.6513,1
1144.04236,912.6013,1
1144.05359,1019.80524,1
1144.0575,964.5051,1
1144.06,979.2219,1
1144.16162,956.2771,1
1144.25012,1017.71191,1
1144.34143,918.714966,1
1144.47644,962.0066,1
1144.82983,987.515442,1
1144.83167,965.660156,1
1144.94189,1009.73737,1
1144.98364,947.6001,1
1145.00366,984.6599,1
1145.23132,898.2355,1
1145.27869,1024.52368,1
1145.30969,931.8004,1
1145.523,943.9041,1
1145.66577,927.9041,1
1145.80884,1015.51495,1
1145.96008,991.119263,1
1146.02527,967.4126,1
1146.11389,1039.95129,1
1146.4834,1059.26526,1
1146.50354,935.8816,1
1146.775,962.7649,1
1146.87134,984.1205,1
1146.88513,1040.60181,1
1147.0498,999.877441,1
1147.18433,980.7466,1
1147.24841,869.0421,1
1147.29272,964.222,1
1147.32324,1020.78473,1
1147.40869,977.972656,1
1147.55273,978.148865,1
1147.5896,958.8069,1
1147.61047,1025.92969,1
1147.76,1001.14685,1
1147.84485,944.4915,1
1147.96362,970.3459,1
1148.12927,919.4187,1
1148.276,957.0227,1
1148.354,1125.54041,1
1148.60486,1015.24292,1
1148.7019,966.5235,1
1148.748,982.356262,1
1148.81934,955.4797,1
1148.84729,953.257446,1
1149.08411,969.8604,1
1149.13086,895.3837,1
1149.21692,951.178162,1
1149.24121,888.727966,1
1149.26306,1001.168,1
1149.33667,1026.36572,1
1149.56226,994.3063,1
1149.62488,990.7748,1
1149.92944,903.9129,1
1150.01086,934.443542,1
1150.0874,976.722534,1
1150.17517,967.1581,1
1150.52832,908.6772,1
1150.93311,889.8701,1
1150.97461,909.1368,1
1150.99,1006.79071,1
1151.09192,958.785034,1
1151.16992,895.9514,1
1151.24573,991.6963,1
1151.35388,976.7151,1
1151.37451,1039.47949,1
1151.44763,947.765442,1
1151.47742,928.8689,1
1151.59766,943.314941,1
1151.76367,996.3998,1
1151.77246,984.509766,1
1151.78918,907.24646,1
1151.82666,1039.53015,1
1152.075,967.034,1
1152.084,897.614258,1
1152.171,966.3414,1
1152.22522,947.043,1
1152.2572,964.0377,1
1152.499,930.0754,1
1152.60669,973.3817,1
1152.61682,997.9568,1
1152.73083,985.9691,1
1152.79932,967.6985,1
1152.802,959.1006,1
1152.87927,942.3874,1
1152.9,905.6305,1
1152.92322,936.76,1
1152.92529,854.501465,1
1152.94714,1008.06689,1
1153.01746,977.2384,1
1153.04968,999.75824,1
1153.06348,1040.00891,1
1153.14978,1054.517,1
1153.164,982.9636,1
1153.17285,930.933167,1
1153.18726,920.807068,1
1153.24036,958.016663,1
1153.27673,1049.839,1
1153.37329,1060.2948,1
1153.42542,983.1541,1
1153.43665,972.5071,1
1153.5,1022.20142,1
1153.507,961.9712,1
1153.53174,901.9018,1
1153.56531,1080.76477,1
1153.57471,943.3661,1
1153.57849,946.8317,1
1153.59033,1006.21362,1
1153.812,1080.121,1
1153.8407,937.2498,1
1153.875,985.4701,1
1154.08289,933.9596,1
1154.12451,1032.98254,1
1154.12976,960.045349,1
1154.33618,1025.58411,1
1154.34021,1008.90143,1
1154.37073,931.6789,1
1154.39221,950.818054,1
1154.4115,989.326,1
1154.5282,969.1405,1
1154.53552,1000.37378,1
1154.53577,943.035339,1
1154.55591,809.184448,1
1154.56018,950.6364,1
1154.692,988.724731,1
1154.69641,988.317261,1
1154.83337,1037.10864,1
1154.90173,944.724365,1
1154.918,967.122559,1
1154.92761,977.9595,1
1154.98926,946.423,1
1155.04443,1022.709,1
1155.13708,919.093567,1
1155.17737,946.620544,1
1155.31873,992.955933,1
1155.326,1023.73444,1
1155.4408,953.162537,1
1155.47864,929.875366,1
1155.613,956.990356,1
1155.65332,964.3385,1
1155.70959,922.7215,1
1155.71094,939.668457,1
1155.76233,968.174255,1
1155.7981,974.0746,1
1155.88257,942.4458,1
1155.91016,975.8629,1
1155.98755,980.122742,1
1156.08362,844.3435,1
1156.13062,932.7781,1
1156.1814,1025.60559,1
1156.19287,1009.03949,1
1156.22424,952.4872,1
1156.23438,967.363953,1
1156.30591,1038.61768,1
1156.3103,900.214661,1
1156.3158,929.942261,1
1156.38367,1036.20422,1
1156.41577,871.2037,1
1156.42908,1026.95764,1
1156.69922,886.7156,1
1156.92627,1023.69037,1
1156.97961,1014.18231,1
1157.023,970.9071,1
1157.06824,1091.65527,1
1157.09583,1008.76477,1
1157.123,981.953369,1
1157.22107,970.6957,1
1157.31067,966.898254,1
1157.32227,972.540466,1
1157.59106,1039.43689,1
1157.63721,962.4151,1
1157.67151,953.000732,1
1157.72437,1013.0838,1
1157.77783,1002.27832,1
1157.80627,982.0747,1
1157.91248,924.0415,1
1157.97766,990.7229,1
1158.03748,906.7514,1
1158.12524,930.9991,1
1158.25073,1032.52063,1
1158.252,1004.81671,1
1158.38513,915.083252,1
1158.42432,945.1133,1
1158.45972,1013.42853,1
1158.47046,927.600159,1
1158.54431,1054.806,1
1158.71411,1035.28284,1
1158.76282,963.810242,1
1158.766,1034.59143,1
1158.86108,960.762,1
1158.8761,960.775,1
1158.89172,968.3695,1
1158.89355,988.440552,1
1158.97327,944.142761,1
1159.06726,981.6611,1
1159.10815,1012.34338,1
1159.1582,1058.66675,1
1159.32239,958.2721,1
1159.32874,918.9165,1
1159.39429,973.690247,1
1159.5354,953.8534,1
1159.62463,995.8816,1
1159.683,960.5783,1
1159.725,920.282959,1
1159.72717,936.1904,1
1159.7345,878.4037,1
1159.79541,983.4142,1
1160.0022,950.978149,1
1160.02527,985.6844,1
1160.04236,965.0727,1
1160.0835,1007.828,1
1160.18115,990.779053,1
1160.313,877.723267,1
1160.37,1023.77179,1
1160.66406,1005.05469,1
1160.71716,926.1427,1
1160.74219,925.6502,1
1160.78174,931.0651,1
1160.98694,980.7634,1
1161.00659,924.976868,1
1161.03308,988.7325,1
1161.04968,963.5876,1
1161.0509,925.336,1
1161.06934,980.6439,1
1161.09277,957.9858,1
1161.11377,1022.15387,1
1161.14355,913.0858,1
1161.40527,964.9969,1
1161.40942,966.748047,1
1161.40967,985.9683,1
1161.5144,1028.982,1
1161.5166,1030.006,1
1161.52417,876.482239,1
1161.55688,946.7552,1
1161.55981,907.8416,1
1161.70337,820.6406,1
1161.75439,983.925659,1
1161.80591,939.9099,1
1161.9231,974.2313,1
1162.10046,966.167,1
1162.10486,975.794067,1
1162.114,938.064148,1
1162.12842,935.7268,1
1162.19666,913.760437,1
1162.28735,1002.70795,1
1162.29626,1009.6424,1
1162.32227,926.2136,1
1162.3833,945.474854,1
1162.39771,955.5201,1
1162.40674,928.6534,1
1162.41174,981.7794,1
1162.44336,1053.11877,1
1162.50244,1015.24036,1
1162.56641,990.61,1
1162.69275,992.0365,1
1162.72717,990.9699,1
1162.81091,915.7576,1
1162.82581,925.7532,1
1162.89941,1028.72083,1
1162.90869,994.289246,1
1162.95264,934.818054,1
1162.96326,933.2019,1
1162.97192,981.491,1
1163.00513,1035.64478,1
1163.01733,964.5844,1
1163.047,971.872864,1
1163.05554,957.2089,1
1163.08167,986.0423,1
1163.09192,881.62146,1
1163.095,928.8034,1
1163.16577,959.544067,1
1163.169,921.4811,1
1163.18188,950.2311,1
1163.35547,1021.232,1
1163.363,965.2783,1
1163.39282,961.2185,1
1163.413,997.0867,1
1163.46008,963.021057,1
1163.51855,928.9961,1
1163.52441,1066.47961,1
1163.60559,1043.73669,1
1163.61023,956.1124,1
1163.68054,993.8373,1
1163.68213,996.7882,1
1163.69836,958.55365,1
1163.70239,839.3803,1
1163.72375,956.818237,1
1163.72852,948.7364,1
1163.73657,973.680237,1
1163.80408,960.916748,1
1163.83252,993.2527,1
1163.83386,998.9993,1
1163.8501,995.748047,1
1163.93555,936.77124,1
1163.94836,937.11615,1
1164.018,1001.572,1
