Ch1 Amplitude,Ch2 Amplitude,Cluster
1046.69824,882.089539,1
1066.488,917.932251,1
1081.73242,885.535461,1
1087.48242,950.1154,1
1087.63806,878.544739,1
1088.67371,868.032837,1
1089.45032,894.644348,1
1091.03833,982.145264,1
1093.37427,812.7539,1
1093.82446,964.128,1
1093.90881,910.928955,1
1094.54236,928.073059,1
1095.4679,997.0336,1
1098.18945,1039.6687,1
1098.521,892.5625,1
1098.96118,968.120667,1
1099.2428,996.1922,1
1099.86108,994.2361,1
1102.49731,944.0991,1
1103.10229,789.2677,1
1103.39514,972.1445,1
1104.05371,1015.61676,1
1104.25037,1025.37073,1
1104.81,1037.5603,1
1106.4707,936.18396,1
1106.50769,946.7586,1
1107.45947,832.1131,1
1108.17053,905.3522,1
1108.27454,1044.194,1
1108.462,944.8291,1
1108.90588,985.9522,1
1108.93225,941.4888,1
1109.32849,931.599731,1
1109.34265,933.8293,1
1109.661,1009.90759,1
1109.81238,968.808655,1
1109.894,972.2634,1
1109.89929,833.186768,1
1111.28955,955.131836,1
1111.96265,939.7804,1
1112.3584,930.9877,1
1113.34473,913.847839,1
1113.63318,997.7914,1
1114.41931,987.864441,1
1114.69409,950.858765,1
1115.04028,937.7084,1
1115.06079,959.5345,1
1115.21155,1003.20294,1
1115.69373,1053.83252,1
1116.0564,954.4935,1
1116.368,1051.65747,1
1116.58423,1004.67316,1
1116.79077,947.688843,1
1117.88672,969.883362,1
1118.69849,1019.46759,1
1118.87219,1023.85461,1
1118.87854,969.1492,1
1119.218,942.493958,1
1119.86218,889.344,1
1120.75281,1005.32593,1
1120.96338,989.025757,1
1121.0166,920.5167,1
1121.23853,943.004944,1
1121.35229,1006.64703,1
1121.36475,968.652344,1
1121.61511,1030.11707,1
1121.79028,1026.00793,1
1122.02747,977.1639,1
1122.07385,902.3497,1
1122.09741,914.887756,1
1122.48914,1006.21924,1
1122.57983,966.921448,1
1122.64941,944.9387,1
1122.66272,964.669556,1
1122.71143,932.0497,1
1122.87488,934.3949,1
1123.41663,941.9226,1
1123.503,895.938,1
1123.65222,961.72644,1
1123.7937,848.690552,1
1124.26758,923.1002,1
1124.48474,1023.06622,1
1124.50854,880.4079,1
1124.51282,972.744141,1
1124.64417,1072.99951,1
1125.01172,1039.717,1
1125.04858,1010.06732,1
1125.28577,999.029846,1
