Ch1 Amplitude,Ch2 Amplitude,Cluster
1063.83789,887.5861,1
1078.47327,944.119751,1
1088.60413,1031.76563,1
1096.48035,1017.36261,1
1096.9032,979.7389,1
1098.61353,1044.65869,1
1099.16589,873.743652,1
1102.38464,898.6803,1
1104.18323,916.7842,1
1105.70947,861.8305,1
1106.646,1025.27209,1
1107.84314,926.155151,1
1109.04077,938.4877,1
1110.09814,974.498352,1
1110.39258,865.0672,1
1110.80786,1054.20459,1
1111.30383,994.3955,1
1111.579,861.3757,1
1111.90588,961.3122,1
1112.63464,963.2229,1
1112.92017,968.585449,1
1113.10376,955.6076,1
1114.26758,927.4155,1
1114.533,951.885254,1
1115.39331,975.728149,1
1116.08044,878.6829,1
1116.52319,1015.79291,1
1116.76892,973.5228,1
1116.90417,966.5031,1
1117.08411,1008.69189,1
1118.529,951.196533,1
1118.62244,937.5807,1
1118.6272,874.855042,1
1118.65588,927.100342,1
1119.27258,993.179565,1
1119.3075,989.2215,1
1119.37939,833.641235,1
1119.722,960.003235,1
1120.028,1007.72449,1
1120.58191,825.7275,1
1120.62073,990.619,1
1120.64978,881.4737,1
1120.74988,885.368835,1
1120.7666,935.466431,1
1121.97119,1037.74207,1
1123.16541,917.576538,1
1123.18152,888.7948,1
1123.20239,957.2236,1
1123.41248,978.3982,1
1123.51233,873.932434,1
1123.57947,906.801941,1
1123.81287,952.724854,1
1123.87769,945.9733,1
1124.85852,878.664734,1
1125.019,1024.2843,1
1125.08765,1002.64972,1
1125.62585,969.6432,1
1125.68237,899.688354,1
1126.46228,827.0333,1
1126.96313,1006.87793,1
1127.17175,1015.98462,1
1127.19775,960.420959,1
1127.21533,975.177551,1
1127.36658,989.8653,1
1127.42554,954.1397,1
1128.21765,979.049561,1
1128.32617,981.306763,1
1128.6709,903.6922,1
1129.05957,873.299255,1
1129.30347,945.146545,1
1129.9115,933.7191,1
1130.14563,916.589966,1
1130.51965,975.3588,1
1130.65271,953.0926,1
1130.65515,940.2126,1
1131.24841,932.0159,1
1131.285,969.6611,1
1131.43811,885.9383,1
1131.52319,883.1364,1
1131.81128,972.3858,1
1131.83667,928.112549,1
1132.00732,970.8391,1
1132.36169,978.5721,1
1132.37708,1007.03473,1
1132.41028,764.8779,1
1132.62854,949.3523,1
1132.66919,960.238342,1
1132.73279,898.162,1
1132.75439,916.823364,1
1132.76611,927.9975,1
1132.8623,972.872253,1
1133.117,982.4091,1
1133.14233,1040.71423,1
1133.28125,979.3404,1
1133.50427,931.233337,1
1133.62817,912.1204,1
1133.77319,950.639343,1
1134.07654,968.0153,1
1134.12073,946.38916,1
1134.17664,984.6177,1
1134.60974,1001.80554,1
1135.01721,862.1904,1
1135.76489,893.6393,1
1135.90613,976.144043,1
1135.926,880.9623,1
1135.99292,952.462036,1
1136.10168,991.61615,1
1136.28235,951.1145,1
1136.4552,984.479248,1
1136.50183,1004.07983,1
1136.98035,959.5063,1
1137.11,981.0555,1
1137.12756,968.2047,1
1137.258,1009.52423,1
1137.261,983.448059,1
1137.30933,960.2452,1
1137.70984,850.503052,1
1137.74353,1012.928,1
1137.751,938.5564,1
1137.75427,956.7797,1
1137.765,992.391663,1
1137.85,925.6178,1
1137.91492,926.416748,1
1137.94861,1002.75494,1
1138.04224,995.194641,1
1138.38989,991.8416,1
1138.5918,999.677551,1
1138.97949,924.4388,1
1139.06348,915.908264,1
1139.11523,978.496155,1
1139.26184,1017.5282,1
1139.63159,941.315735,1
1139.77417,998.9063,1
1139.84607,1081.55737,1
1139.93982,993.2795,1
1140.01782,1007.40521,1
1140.056,975.7886,1
1140.24146,1018.6156,1
1140.32593,987.4291,1
1140.34033,869.7896,1
1140.41907,939.919739,1
1140.44946,986.179138,1
1140.49634,975.381,1
1140.70459,1021.95105,1
1140.93677,969.9403,1
1140.95264,953.1185,1
1140.9834,1035.10059,1
1141.116,939.2763,1
1141.21228,927.53595,1
1141.24792,984.5017,1
1141.29077,897.9816,1
1141.3927,1051.30371,1
1141.56812,1055.38025,1
1141.75854,834.6033,1
1141.77649,925.241455,1
1141.8009,1024.03394,1
1141.95557,1004.777,1
1142.078,936.4974,1
1142.12708,1003.82782,1
1142.19128,949.3145,1
1142.216,973.4829,1
1142.28674,1014.02411,1
1142.305,1025.04114,1
1142.31323,894.013855,1
1142.34509,936.580444,1
1142.42908,885.22345,1
1142.455,919.3317,1
1142.69946,883.9452,1
1142.72461,1052.11646,1
1142.7334,1018.97284,1
1142.86133,1028.34521,1
1142.91931,1001.36493,1
1142.994,982.161743,1
1143.05261,903.3617,1
1143.09436,886.1735,1
1143.15186,939.145264,1
1143.15283,957.847046,1
1143.19141,941.052246,1
1143.236,936.438965,1
1143.35986,980.563843,1
1143.40979,961.2844,1
1143.69189,960.975037,1
1144.09863,969.529236,1
1144.12244,804.026245,1
1144.2262,865.348145,1
1144.32434,927.322632,1
1144.33911,981.630066,1
1144.54541,1014.24628,1
1144.56311,986.7587,1
1144.61011,958.688049,1
1144.651,990.9173,1
1144.66125,969.1809,1
1144.74573,895.8149,1
1144.8009,1024.02136,1
1144.87292,956.6761,1
1144.89526,908.5675,1
1144.92761,927.9186,1
1144.94006,1027.11731,1
1145.16345,1025.59973,1
1145.26733,992.3271,1
1145.4071,983.0322,1
1145.47583,1053.93188,1
1145.54749,974.184265,1
1145.68591,914.667664,1
1145.7002,866.549866,1
1145.7478,928.6827,1
1145.75317,948.5466,1
1145.82654,948.7152,1
1145.84106,1030.94714,1
1145.88623,913.875244,1
1145.9342,995.1053,1
1146.073,957.3753,1
1146.182,998.080444,1
1146.355,1001.90973,1
1146.45154,1054.08325,1
1146.452,939.903442,1
1146.45752,1012.343,1
1146.66016,939.427551,1
1146.67236,976.746643,1
1146.7168,920.965332,1
1146.83325,933.9878,1
1146.85486,985.4756,1
1147.09436,1019.12323,1
1147.15454,1038.63062,1
1147.31311,983.200867,1
1147.53882,1003.897,1
1147.60815,1004.3136,1
1147.61218,943.8944,1
1147.82324,935.7641,1
1147.86646,979.9723,1
1147.86646,984.7786,1
1147.89258,919.892151,1
1147.95679,962.3499,1
1148.06836,976.3569,1
1148.18372,963.8265,1
1148.19983,957.546143,1
1148.23547,1048.881,1
1148.23828,1011.424,1
1148.40576,1008.96735,1
1148.54944,1014.86121,1
1148.5614,933.686646,1
1148.60242,1111.97632,1
1148.65356,897.7681,1
1148.70776,1000.4234,1
1148.90112,959.7866,1
1148.925,880.415955,1
1148.97168,952.1561,1
1149.095,987.460449,1
1149.11755,969.3494,1
1149.13953,915.7661,1
1149.16406,1552.92981,4
1149.178,949.5884,1
1149.21606,954.9916,1
1149.224,914.707,1
1149.29053,937.8029,1
1149.31372,994.5046,1
1149.38513,1015.7522,1
1149.43848,1010.08929,1
1149.46912,945.812866,1
1149.64282,917.093445,1
1149.65222,970.998169,1
1149.66272,968.9453,1
1149.71045,1056.22144,1
1149.75342,1019.991,1
1149.78821,1008.596,1
1149.8208,954.686462,1
1149.8739,1032.787,1
1149.88159,962.282,1
1149.89636,1000.72925,1
1150.029,992.8128,1
1150.11267,952.222168,1
1150.18494,973.652832,1
1150.20264,994.1672,1
1150.21533,1019.23889,1
1150.21777,1004.82,1
1150.26,901.672058,1
1150.27625,968.181335,1
1150.34131,998.542358,1
1150.42273,990.434143,1
1150.43445,941.85,1
1150.44507,983.2227,1
1150.51465,1003.7677,1
1150.52222,863.867554,1
1150.54443,942.9985,1
1150.54785,928.6019,1
1150.54956,996.064148,1
1150.55811,953.619934,1
1150.5968,932.3008,1
1150.62024,974.7273,1
1150.74072,988.783142,1
1150.78931,931.933655,1
1150.79468,995.0482,1
1150.7981,1000.88916,1
