Ch1 Amplitude,Ch2 Amplitude,Cluster
477.8735,1034.90515,1
483.368622,960.412231,1
488.963043,983.9483,1
494.394928,924.564,1
496.629669,920.5234,1
499.3587,1028.58032,1
499.722778,913.102356,1
499.999878,1003.62878,1
500.3267,991.062561,1
500.842072,884.402954,1
501.005127,1024.557,1
501.499939,898.951965,1
502.271667,1071.756,1
502.3848,1025.25159,1
503.346344,937.7786,1
503.467072,938.9131,1
504.033447,1036.90332,1
504.483,1007.7616,1
504.8176,1007.84186,1
506.085266,1045.83618,1
506.2695,993.669,1
506.6488,1043.94055,1
506.7614,995.8465,1
507.339539,1047.646,1
507.751923,969.5523,1
508.157745,1036.034,1
508.79303,993.8671,1
509.872772,1032.30493,1
509.939423,985.5919,1
509.9979,1079.42407,1
510.232422,1052.19873,1
510.29,1031.2605,1
510.487549,976.8115,1
510.8855,1036.62769,1
511.288727,950.894531,1
511.9046,1037.30176,1
512.0872,1016.39465,1
512.4361,945.3728,1
512.7486,984.578857,1
512.880432,899.2409,1
512.906738,1029.81726,1
513.6415,1014.77557,1
513.8916,1016.65363,1
513.9077,1002.2995,1
514.069,973.923645,1
514.2037,1009.0697,1
514.2748,1008.60809,1
514.355957,1039.39185,1
514.382446,977.3147,1
514.599243,983.9594,1
514.9554,1019.5589,1
515.0217,954.5736,1
515.1887,1084.68079,1
515.45,1107.381,1
515.647034,994.261963,1
515.7123,1029.49573,1
515.8242,890.0086,1
516.1283,940.024658,1
516.16626,997.6243,1
516.2085,1013.71332,1
516.26355,1025.49878,1
516.3384,1041.88489,1
516.3971,1002.63647,1
516.434265,1031.48975,1
516.548462,975.063,1
516.569458,1062.99768,1
516.658,984.4833,1
517.1345,1036.938,1
517.246765,958.901367,1
517.4308,1025.93713,1
517.498352,1040.41846,1
517.525146,957.8209,1
517.626038,1077.68494,1
517.719238,1108.92676,1
517.830444,944.783569,1
517.8946,1077.47656,1
517.9762,1005.07361,1
518.19696,918.0752,1
518.3041,975.6739,1
518.7264,977.08,1
518.7606,994.5488,1
518.9188,1038.49463,1
519.030457,978.2515,1
519.085938,932.488953,1
519.1347,1068.69812,1
519.577332,965.909851,1
519.6248,951.7596,1
519.6538,1040.17224,1
519.6674,1071.04565,1
519.685852,995.8904,1
519.686035,1066.35474,1
519.760437,1006.534,1
519.9056,1079.90137,1
519.9492,968.0074,1
520.3627,1033.3064,1
520.4042,1040.37109,1
520.566345,1052.09253,1
520.9441,1011.90735,1
520.960754,1046.68579,1
521.09,965.145264,1
521.250732,1060.16833,1
521.3047,1000.46033,1
521.527466,1079.92615,1
521.607666,1015.29053,1
521.7146,939.709045,1
521.724243,948.386353,1
521.795654,1038.04626,1
521.8749,1096.7738,1
522.0545,1063.83521,1
522.1815,1030.941,1
522.243835,960.73,1
522.252258,937.29895,1
522.2881,1031.06763,1
522.4137,1033.42554,1
522.496948,1043.33826,1
522.6191,959.440857,1
522.818237,1035.95667,1
522.8366,1029.544,1
522.8783,1038.93079,1
522.965,984.588135,1
523.0396,1033.748,1
523.063,1041.48315,1
523.270264,974.8136,1
523.359436,1021.00446,1
523.387756,991.2515,1
523.3884,1007.79712,1
523.5223,992.3014,1
523.646362,1073.80261,1
523.657654,1021.30548,1
523.6596,994.2016,1
523.7235,952.814,1
523.774536,976.629456,1
523.879333,995.9253,1
523.928833,1007.03467,1
523.9348,1050.386,1
523.958557,1064.60217,1
523.962158,999.5008,1
524.1094,992.404663,1
524.175,1027.03979,1
524.3234,1010.36981,1
524.371033,1018.51837,1
524.37616,957.591,1
524.3765,976.858032,1
524.4064,1002.98041,1
524.421936,1058.87573,1
524.5282,975.871033,1
524.64856,971.4042,1
524.7982,1062.94189,1
524.860962,1018.57721,1
524.897156,1044.72119,1
525.0219,1003.71173,1
525.1061,953.58844,1
525.1224,1081.46228,1
525.15155,1005.59637,1
525.169556,998.5404,1
525.2202,921.355,1
525.255066,993.2034,1
525.2711,1030.72253,1
525.4232,1034.14172,1
525.4425,1033.66431,1
525.4449,1069.60083,1
525.547,1006.91949,1
525.5723,964.476868,1
525.8374,1063.36731,1
525.9719,987.865845,1
525.981934,989.4669,1
526.0075,946.975,1
526.0439,1013.0014,1
526.043945,1028.10046,1
526.21405,1016.83417,1
526.3321,1007.92078,1
526.6684,994.5912,1
526.7844,984.3887,1
526.7872,1011.9635,1
526.826965,992.8383,1
526.860535,1037.51855,1
526.872,957.1736,1
526.8856,1013.37933,1
526.886841,969.6318,1
527.0612,967.5478,1
527.209839,972.114746,1
527.2116,1054.78918,1
527.2602,1006.43213,1
527.326233,1043.4696,1
527.3775,983.316162,1
527.3924,1067.2583,1
527.440369,1011.76318,1
527.460449,988.510437,1
527.4661,1048.39832,1
527.5151,981.342,1
527.5463,995.1784,1
527.581,986.849,1
527.600342,1035.07458,1
527.6286,1002.05273,1
527.726135,1054.96277,1
527.745056,1054.47668,1
527.885864,1088.45886,1
528.027832,1064.48877,1
528.2762,1079.11682,1
528.361938,1025.15576,1
528.4449,1032.23438,1
528.566467,1006.15192,1
528.5979,933.5823,1
528.6486,1021.34918,1
528.790039,1028.57373,1
528.8172,992.7845,1
528.8193,1013.24078,1
528.823242,1009.55121,1
528.89,980.3998,1
528.9246,1052.0896,1
528.947754,1054.56787,1
528.9511,1074.74524,1
529.042,904.832336,1
529.058838,997.0638,1
529.157837,1049.82385,1
529.178833,983.427246,1
529.41394,949.516052,1
529.4224,941.512634,1
529.4872,1010.48651,1
529.5256,1045.42725,1
529.5276,970.462463,1
529.5468,964.3794,1
529.5593,1012.68677,1
529.584534,999.585144,1
529.6695,926.807739,1
529.7407,991.202,1
529.887756,1002.70776,1
530.026,1127.53882,1
530.0477,904.9734,1
530.056763,988.44574,1
530.0784,936.444641,1
530.083069,1127.96191,1
530.1358,1043.54492,1
530.178,1004.32281,1
530.2163,1010.31042,1
530.327148,901.5514,1
530.395569,968.4053,1
530.41,939.009338,1
530.4789,989.5704,1
530.505249,930.3685,1
530.6504,1034.30615,1
530.692261,1043.05334,1
530.7673,940.032837,1
530.7813,1077.91443,1
530.7934,1072.27856,1
530.922241,1065.05627,1
530.925964,941.056641,1
530.989868,930.8052,1
531.041443,1023.94983,1
531.0648,1012.28851,1
531.070251,969.9637,1
531.249146,1056.95044,1
531.2601,957.5311,1
531.2802,1022.85913,1
531.308167,953.9402,1
531.5688,991.997559,1
531.575256,911.5639,1
531.5785,1001.98431,1
531.60614,1068.97461,1
531.63385,1085.77881,1
531.6663,1055.78564,1
531.839,1026.25317,1
531.890137,1058.19946,1
531.920959,969.2813,1
531.9441,1045.35962,1
531.948,967.8009,1
532.0014,1081.16528,1
532.0149,1053.28735,1
532.023438,1021.46417,1
532.091064,1039.04419,1
532.131958,984.3038,1
532.1504,1068.36353,1
532.1714,1027.82507,1
532.183533,944.777039,1
532.1886,1101.32068,1
532.2252,961.09375,1
532.3784,974.1853,1
532.3818,1020.36029,1
532.4238,1006.15015,1
532.427,1014.32556,1
532.441345,1059.98425,1
532.444,990.415833,1
532.5363,1016.43524,1
532.561768,943.3309,1
532.633667,1078.44775,1
532.6664,1013.20947,1
532.6718,974.1552,1
532.704651,1054.40332,1
532.7404,1033.59448,1
532.783264,1044.46692,1
532.82,1040.25916,1
532.8364,907.5318,1
532.8744,999.4426,1
532.979858,1040.60876,1
