Ch1 Amplitude,Ch2 Amplitude,Cluster
878.732849,784.1832,1
884.0127,2476.72241,4
892.062744,819.6591,1
898.5879,753.3671,1
903.166565,665.338135,1
904.7685,809.847961,1
909.837952,752.53595,1
911.1065,2485.66943,4
913.4434,905.9379,1
913.597,2405.47852,4
915.408447,2564.218,4
916.771851,1184.50476,1
916.842834,772.986,1
918.0678,790.8331,1
919.5889,820.8568,1
920.076965,716.910767,1
920.305969,2660.65576,4
920.537964,832.9998,1
922.3167,766.945068,1
924.3999,787.9342,1
925.5167,817.5657,1
925.764465,857.886,1
926.7333,866.3829,1
926.8521,832.250549,1
927.2579,2564.55737,4
927.932251,861.9458,1
928.532,806.8117,1
928.569946,729.1281,1
928.809937,897.607666,1
929.308167,689.6022,1
930.8558,759.1135,1
932.2199,854.6226,1
932.7097,850.101,1
932.783264,850.5439,1
934.0683,772.2758,1
934.4198,814.7462,1
934.556641,776.9224,1
934.607239,930.948853,1
934.629,800.858459,1
934.784363,873.362732,1
935.0576,692.7522,1
935.8357,841.9361,1
936.76825,819.8079,1
937.069458,801.4615,1
937.3204,840.2116,1
937.3857,881.7505,1
937.394653,985.7039,1
937.622253,926.361633,1
937.7031,750.850769,1
939.578552,692.5723,1
939.686462,782.7165,1
939.7377,791.21344,1
940.2792,779.022644,1
940.401245,814.437134,1
940.6437,803.642,1
940.9653,2545.929,4
941.822632,737.447937,1
942.123352,884.8917,1
942.406,812.4292,1
942.649353,844.3166,1
942.7075,851.2259,1
943.0018,851.7395,1
943.1315,876.378967,1
943.2069,804.8608,1
943.235046,823.349854,1
943.28064,834.8416,1
943.6052,778.234131,1
943.725,832.6338,1
943.797852,2329.848,4
944.762146,791.629639,1
945.320862,888.0377,1
945.9642,839.800232,1
946.092346,959.354858,1
946.323,815.893555,1
946.643555,847.2964,1
947.0384,719.1315,1
947.513245,829.3486,1
947.766968,768.6131,1
947.98645,716.5461,1
948.017334,861.073242,1
948.530762,893.624756,1
948.74884,804.569,1
948.7564,904.5654,1
948.8749,790.8769,1
949.413635,809.348938,1
949.420837,828.1275,1
949.5411,876.950134,1
949.668152,1405.54443,1
949.745056,2629.089,4
949.799744,1128.04089,1
949.9132,910.5265,1
949.9588,2636.166,4
950.5215,2534.67358,4
950.706665,2569.708,4
951.1729,741.1684,1
951.226257,829.655762,1
951.4214,855.737061,1
951.5213,783.7622,1
952.245056,863.6916,1
952.271667,862.8317,1
952.7358,2615.06787,4
953.2869,876.10376,1
953.394348,857.361,1
953.5106,895.9155,1
953.512756,876.177856,1
953.564331,799.1034,1
953.6176,865.1679,1
953.627441,793.042664,1
953.7494,905.8559,1
953.750244,2592.40625,4
953.8216,860.4588,1
954.145752,832.564758,1
954.2234,836.194336,1
954.2922,848.725769,1
954.46936,886.832153,1
954.510559,1404.515,1
954.7264,932.7228,1
954.806335,820.648254,1
954.873,852.8534,1
955.1806,2613.90967,4
955.1919,796.391,1
955.468933,926.6759,1
955.6971,958.751465,1
955.8007,845.0875,1
956.148438,889.483,1
956.549744,2552.795,4
956.844055,957.4159,1
956.8927,831.859436,1
956.9779,833.181335,1
957.002869,785.8355,1
957.0257,803.850037,1
957.552551,853.454346,1
957.701355,2661.78125,4
957.7147,789.4586,1
957.9012,838.9893,1
957.9822,908.578,1
958.052856,890.53656,1
958.229736,861.682861,1
958.239746,818.329041,1
958.291443,946.10144,1
958.3398,741.6399,1
958.3422,875.455933,1
958.5387,830.88446,1
958.6314,696.4292,1
958.645569,872.9008,1
958.676331,850.423035,1
958.789551,775.711548,1
959.12146,901.5325,1
959.1583,859.774353,1
959.167053,800.9259,1
959.1767,1396.2699,1
959.215637,805.4437,1
959.3052,1334.74622,1
959.5014,828.804138,1
959.5185,861.547546,1
959.5346,866.3095,1
959.5661,820.6078,1
959.6498,2673.14063,4
959.8889,899.776733,1
959.905151,863.4294,1
959.949341,832.7372,1
960.027039,823.4557,1
960.0661,903.049133,1
960.087,813.742859,1
960.1723,977.2562,1
960.251038,839.267639,1
960.366,832.1491,1
960.371155,884.794434,1
960.4748,824.7653,1
960.5352,868.657349,1
960.5664,895.2618,1
960.6485,923.6895,1
960.7096,832.604431,1
960.821655,865.745361,1
960.859,950.040039,1
960.8825,904.0489,1
960.9336,815.007,1
961.0574,869.483032,1
961.064758,783.6622,1
961.192566,779.1642,1
961.207153,857.16864,1
961.212036,1311.62256,1
961.410645,855.3542,1
961.680969,858.36084,1
961.8057,883.1071,1
961.8392,799.6441,1
961.9768,881.9127,1
962.022461,943.440552,1
962.0857,844.366943,1
962.095764,841.909546,1
962.115234,2644.51123,4
962.2018,876.4509,1
962.4077,865.32196,1
962.4685,883.325,1
962.4691,815.4325,1
962.5298,848.5102,1
962.5745,926.102661,1
962.688232,854.0476,1
962.7012,872.9497,1
962.7804,867.349365,1
962.8583,2515.603,4
962.872253,845.7344,1
962.901367,2654.144,4
962.983459,2384.19824,4
963.0082,877.778,1
963.1531,844.734436,1
963.2034,946.437134,1
963.3541,2458.384,4
963.3678,837.803833,1
963.7223,840.980652,1
963.7257,887.540466,1
963.729431,858.5474,1
963.857239,849.1986,1
964.0596,791.3677,1
964.103,886.838135,1
964.3534,881.2571,1
964.375366,885.3938,1
964.5912,853.602966,1
964.64624,749.2821,1
964.677551,875.242249,1
964.7687,855.203,1
964.797,716.528259,1
965.115234,836.2812,1
965.203247,724.799561,1
965.248657,852.1588,1
965.264832,878.9093,1
965.4075,876.33075,1
965.5025,845.564758,1
965.512146,896.885254,1
965.522339,816.0424,1
965.5617,905.7713,1
965.6551,848.7847,1
965.685852,783.837158,1
965.703552,2579.7395,4
965.771851,1358.45923,1
965.8439,870.029968,1
965.857361,873.3357,1
965.942139,2660.68164,4
965.951538,788.0638,1
966.1392,2634.03467,4
966.157,867.912659,1
966.275,805.374451,1
966.510742,752.6962,1
966.6243,848.406738,1
966.6489,833.3449,1
966.6861,791.3883,1
966.6947,864.318054,1
966.6959,785.596,1
966.698,2593.922,4
966.7294,851.0795,1
966.8477,795.4981,1
966.858948,887.860962,1
966.865,770.9852,1
966.8711,752.857361,1
966.899658,2563.737,4
966.981445,825.9159,1
967.011353,2533.9895,4
967.0575,878.956665,1
967.1072,855.7622,1
967.116455,864.1188,1
967.1208,843.27,1
967.1826,898.082031,1
967.2162,867.9613,1
967.238953,878.0756,1
967.4234,1359.71716,1
967.458435,862.4567,1
967.478149,893.2396,1
967.4803,800.2878,1
967.569153,888.2841,1
967.6083,922.511353,1
967.6355,804.5001,1
967.697144,2711.046,4
967.727661,794.966736,1
967.757446,2642.40039,4
967.767151,855.882,1
967.796,813.899841,1
967.839233,2605.35742,4
967.9049,800.1186,1
967.9088,1339.27551,1
967.922852,869.5098,1
968.0127,2571.56738,4
968.4179,772.704041,1
968.5216,872.372437,1
968.5254,839.7826,1
968.5494,1223.3446,1
968.6215,891.840942,1
968.635437,755.5064,1
968.7393,916.4052,1
968.754944,817.3731,1
968.781067,907.3597,1
968.8203,2603.30078,4
968.8449,854.2293,1
968.9256,876.1152,1
968.9735,1296.60193,1
969.0134,890.7881,1
969.056335,1256.50586,1
969.063354,824.454346,1
969.101257,873.298,1
969.110535,772.4263,1
969.141052,854.842834,1
969.1733,947.4649,1
969.2149,1191.89587,1
969.2574,764.3635,1
969.296936,845.2663,1
969.3099,1333.38892,1
969.3298,807.376,1
969.425537,791.435242,1
969.433838,888.079163,1
969.528,846.3079,1
969.5817,918.6943,1
969.6373,819.121155,1
969.713257,840.4082,1
969.7908,788.394531,1
969.7996,862.2802,1
969.9232,830.4854,1
970.025635,2767.16577,4
970.028442,868.5156,1
970.0984,854.5919,1
970.132751,872.959961,1
970.18866,876.5757,1
970.236633,851.37616,1
970.258362,2581.457,4
970.381042,809.889038,1
970.47345,867.211548,1
970.6285,777.884949,1
970.667664,915.6974,1
970.7205,808.3717,1
970.732,878.411438,1
970.7513,816.5879,1
970.8665,861.341858,1
970.9233,841.5226,1
970.936462,808.63446,1
970.9847,724.1845,1
971.032959,876.076843,1
971.0717,907.874146,1
971.077148,767.6054,1
971.092346,835.770447,1
971.134644,864.4161,1
971.140747,838.6112,1
971.1411,1293.18774,1
971.2187,911.049133,1
971.305054,843.915,1
971.4001,1405.0481,1
971.407654,812.758545,1
971.434,759.471069,1
971.4646,864.9985,1
971.5472,841.3692,1
971.597046,879.8963,1
971.6769,948.714233,1
971.685,881.8773,1
971.842468,870.1701,1
971.859131,801.440552,1
971.9886,860.8282,1
972.0545,784.323,1
972.0951,796.8537,1
972.214233,873.0504,1
972.2524,945.196838,1
972.2642,2611.533,4
972.310364,847.8953,1
972.342346,810.9176,1
972.3917,825.303345,1
972.4593,729.2547,1
972.626648,814.0569,1
972.674744,786.0939,1
972.7758,824.2984,1
972.8213,802.007935,1
972.8345,853.144,1
972.8349,858.376343,1
972.906067,886.2031,1
972.9118,829.443665,1
973.0338,2645.98145,4
973.063354,848.3445,1
973.100769,766.0017,1
973.1606,875.8673,1
973.222168,819.8406,1
