Ch1 Amplitude,Ch2 Amplitude,Cluster
869.5744,773.7526,1
883.7781,792.1095,1
884.092651,753.188232,1
888.1426,794.7953,1
895.130859,749.3302,1
895.5194,803.58374,1
896.3407,902.1597,1
897.054565,864.1423,1
898.311035,836.251343,1
898.855957,1347.82715,1
902.1297,1317.13831,1
904.16394,761.504,1
905.7828,742.6877,1
906.0912,740.231445,1
906.2063,774.6727,1
908.8129,852.149231,1
909.1571,805.657166,1
913.7252,723.382141,1
914.7002,859.2236,1
915.175537,904.693,1
918.1778,779.4389,1
919.5955,730.439941,1
921.0749,830.6026,1
922.5613,801.8668,1
922.92334,834.485168,1
923.7522,765.6805,1
923.8081,900.7566,1
927.910461,787.51355,1
928.7434,713.702759,1
929.9449,776.4855,1
933.5827,862.236755,1
933.7942,786.0591,1
934.0536,771.594238,1
934.4947,821.0844,1
936.667969,849.448547,1
936.939148,723.477051,1
937.7932,855.772644,1
939.1269,883.4882,1
940.6693,832.515442,1
940.73175,740.107239,1
941.254639,850.474365,1
941.847351,743.702637,1
941.9437,798.5027,1
942.0724,829.6026,1
942.4489,1320.54736,1
943.0288,788.488464,1
943.144653,728.6049,1
943.2175,797.1564,1
944.3838,796.1332,1
944.6341,935.451355,1
945.115,893.1511,1
945.6176,882.9143,1
945.6558,873.483,1
945.8348,1361.126,1
945.9544,714.636536,1
946.2852,1304.58813,1
946.806335,764.8745,1
946.9333,846.0653,1
947.132446,774.662842,1
947.408,773.3156,1
947.561646,919.802,1
947.991,877.1829,1
948.0575,796.242065,1
948.2105,746.447937,1
948.222168,765.1587,1
948.587463,778.3859,1
948.986633,906.260864,1
949.0837,702.509949,1
949.6887,912.206,1
950.14,790.7354,1
950.208069,873.353455,1
950.822937,806.2404,1
950.8328,884.8734,1
951.4222,832.3334,1
951.506042,791.2216,1
951.920959,775.3893,1
951.9446,870.7531,1
951.9761,937.2876,1
952.0577,868.558167,1
952.105957,748.076965,1
952.364868,782.097534,1
952.5643,766.9528,1
952.5854,774.0609,1
952.888855,811.967163,1
953.224243,841.0832,1
953.6081,877.1528,1
953.678833,838.046,1
953.8697,796.93396,1
954.1566,778.954163,1
954.188,855.795166,1
954.2523,867.9461,1
954.328735,761.179,1
954.6604,848.482239,1
954.8413,925.849854,1
954.8676,844.634766,1
954.933,873.8605,1
955.058044,784.064941,1
955.084,824.949036,1
955.1154,798.821838,1
955.156433,770.212463,1
955.415344,854.507446,1
955.593,816.314636,1
955.7907,844.700256,1
956.0397,783.6212,1
956.136963,758.5528,1
956.524963,711.3546,1
