Ch1 Amplitude,Ch2 Amplitude,Cluster
1017.079,1068.54712,1
1018.54437,1103.51208,1
1021.53546,1102.18787,1
1027.05481,1067.07715,1
1028.94958,1079.211,1
1032.162,1096.489,1
1032.28149,1035.30884,1
1038.41943,1106.10815,1
1042.21875,980.948,1
1044.24683,1099.49817,1
1046.99133,1036.81287,1
1047.55408,1132.10327,1
1048.59814,1141.329,1
1051.073,1088.72534,1
1051.19214,1088.52966,1
1054.04578,1049.77966,1
1055.61938,1063.42542,1
1055.7865,1201.12634,1
1061.55286,1114.06775,1
1062.1239,1162.05872,1
1063.16956,1103.08875,1
1064.79028,1137.67419,1
1066.065,1013.37488,1
1069.35266,1153.85413,1
1070.76672,1041.76428,1
1071.29333,1170.43945,1
1073.78564,1105.27856,1
1074.6322,1069.47058,1
1077.10889,1137.62268,1
1077.38708,1179.28516,1
1077.414,1121.74487,1
1077.93579,1098.1438,1
1078.45056,986.1582,1
1080.03979,1067.50269,1
1080.45764,1094.781,1
1080.77417,1153.479,1
1081.66589,1100.34241,1
1082.06628,1112.73877,1
1083.86719,1156.099,1
1084.02356,1188.70276,1
1084.70374,1132.84387,1
1085.80359,1105.29321,1
1085.97925,1173.04211,1
1086.02686,1118.644,1
1086.30408,1127.84241,1
1086.78882,1189.40613,1
1087.107,1076.4491,1
1088.70435,1115.51282,1
1088.72815,1051.27222,1
1088.95142,1085.94275,1
1089.47192,1240.67163,1
1089.559,1172.00232,1
1089.6582,1201.70276,1
1089.78516,977.654053,1
1089.875,1131.89978,1
1090.09058,1173.512,1
1090.75842,1082.68152,1
1091.93811,1139.33118,1
1092.204,1162.62024,1
1092.30615,1136.51917,1
1092.87488,1159.59619,1
1092.87573,1082.62158,1
1093.04724,1183.52966,1
1093.138,1107.09985,1
1093.56018,1109.925,1
1093.89856,1156.4303,1
1094.32507,1054.76587,1
1094.772,1132.00134,1
1095.00146,1073.82654,1
1095.09192,1081.37122,1
1095.09875,1119.92371,1
1095.34766,1107.87769,1
1096.1239,972.9007,1
1096.2312,1110.28979,1
1096.68457,1115.56567,1
1096.73,1089.342,1
1096.97144,1127.39734,1
1097.18457,1194.836,1
1097.65942,1130.08118,1
1097.73633,1124.698,1
1097.75989,1083.65271,1
1097.81409,1157.46545,1
1097.817,1159.437,1
1097.96082,1202.46033,1
1098.05457,1002.61932,1
1098.09314,1026.34363,1
1098.3999,1019.17523,1
1098.55164,1197.73669,1
1098.6709,1139.797,1
1098.752,1115.84766,1
1098.81641,1154.447,1
1099.347,1140.67065,1
1099.41089,1105.648,1
1099.8335,1143.1886,1
1099.96436,1070.80725,1
1101.02136,1046.50574,1
1101.05359,1186.27344,1
1101.12683,1114.19141,1
1101.16833,1125.44006,1
1101.22449,1105.31726,1
1101.328,1126.411,1
1101.38367,1147.03345,1
1101.384,1156.01587,1
1101.614,1224.38171,1
1101.63513,1197.20728,1
1101.65222,1052.10437,1
1101.76855,1198.06421,1
1101.79773,1029.746,1
1102.05151,1058.88708,1
1103.09277,1085.579,1
1103.1311,1113.55762,1
1103.22278,1158.78284,1
1103.50842,1057.63123,1
1103.71216,1186.72314,1
1103.8009,1118.70483,1
1104.06482,1197.84448,1
1104.089,1114.75171,1
1104.10168,1121.51465,1
1104.17041,1146.48743,1
1104.4458,1152.895,1
1104.59143,1158.78809,1
1105.01978,1162.47131,1
1105.04089,1194.14026,1
1106.02148,1134.74377,1
1106.67126,1163.18652,1
1106.68225,1130.73438,1
1106.78076,1152.03455,1
1106.79822,1157.16016,1
1106.81616,1127.0625,1
1106.82019,1124.30408,1
1106.87781,1120.26648,1
1106.89136,1065.795,1
1106.9585,1201.57,1
1106.98193,1213.52759,1
1107.24976,1086.62671,1
1107.33447,1117.75146,1
1107.42468,1124.79919,1
1107.42639,1078.90991,1
1108.28235,1091.56543,1
1108.31421,1144.51709,1
1108.70435,1191.61768,1
1108.73584,1164.9884,1
1108.93689,1169.85449,1
1109.25842,1158.5238,1
1109.404,1111.87891,1
1109.77917,1132.60461,1
1109.81543,1126.04089,1
1109.88586,1104.25269,1
1110.0498,1150.35864,1
1110.27625,1090.39087,1
1110.39771,1185.30261,1
1110.51392,1179.31555,1
1110.65991,1123.212,1
1110.70166,1241.94873,1
1110.76331,1097.79907,1
1110.83215,1123.47437,1
1110.94922,1161.6543,1
1111.28064,1104.0033,1
1111.32373,1133.5824,1
1111.39478,1106.845,1
1111.40173,1214.64478,1
1111.51318,1159.19336,1
1111.71387,1104.53711,1
1111.73755,1125.09216,1
1112.18823,1171.32068,1
1112.24463,1197.49072,1
1112.344,1079.804,1
1112.432,1153.52625,1
1112.52466,1213.7832,1
1112.557,1068.6311,1
1112.60242,1125.86182,1
1112.60352,1142.22424,1
1112.77246,1152.731,1
1112.783,1174.9397,1
1113.06177,1199.58521,1
1113.31421,1188.96313,1
1113.393,1181.65112,1
1113.42908,1152.59656,1
1113.48877,1163.5304,1
1113.55164,1154.08533,1
1113.58887,1099.52649,1
1113.61108,1129.30371,1
1113.646,1240.82068,1
1113.76538,1159.80237,1
1113.78149,1134.681,1
1113.82349,1186.63123,1
1113.873,1147.96375,1
1113.90063,1159.3241,1
1113.939,1054.91333,1
1113.94263,1083.76648,1
1113.95752,1086.70227,1
1114.00854,1103.12854,1
1114.04468,1161.99365,1
1114.16016,1159.69,1
1114.17334,1132.15039,1
1114.18323,1133.843,1
1114.364,1128.60339,1
1114.36938,1060.29944,1
1114.63562,1135.17224,1
1114.65564,1158.25073,1
1114.716,1106.63037,1
1114.75916,1049.43835,1
1114.785,1131.01807,1
1114.95813,1124.66333,1
