Ch1 Amplitude,Ch2 Amplitude,Cluster
982.8206,1011.94391,1
983.413147,975.7691,1
1015.72064,951.509,1
1025.0509,1075.742,1
1036.69434,1066.6908,1
1041.15283,954.243469,1
1045.86047,983.633,1
1046.1167,1066.46985,1
1048.01465,1008.65875,1
1048.928,994.800659,1
1053.30237,951.910034,1
1056.05359,888.7544,1
1056.19019,960.899,1
1059.69519,963.9977,1
1062.56116,899.4186,1
1063.03357,900.147156,1
1064.363,1091.57971,1
1065.04138,971.781555,1
1069.41321,993.3966,1
1070.63208,924.86676,1
1070.66614,937.6829,1
1071.20325,955.6568,1
1071.69641,1045.3064,1
1072.76733,859.4264,1
1072.89783,1074.48181,1
1074.38257,1131.85278,1
1074.78625,1078.77722,1
1075.71606,891.966736,1
1076.38184,1054.07959,1
1077.46619,1031.74426,1
1078.17761,1075.39575,1
1078.46509,1063.05,1
1078.60938,922.567749,1
1079.0658,1013.89954,1
1079.18,922.3807,1
1080.18384,1029.751,1
1080.20569,896.3002,1
1080.39478,1071.10278,1
1080.54224,930.6792,1
1080.642,891.5321,1
1081.50061,1027.41309,1
1081.66333,950.0085,1
1082.16626,1006.56195,1
1082.32727,995.0922,1
1082.33826,950.3274,1
1082.50989,1026.56433,1
1082.64441,1075.43176,1
1082.92126,999.5487,1
1083.79822,912.6511,1
1083.84167,1144.40918,1
1084.85938,1091.27283,1
1085.21912,930.4033,1
1085.23315,879.28125,1
1085.2489,923.4885,1
1085.6731,1038.41516,1
1086.47351,1088.96777,1
1086.68079,918.1731,1
1087.03687,1064.56409,1
1087.604,1019.65704,1
1087.68018,1057.62488,1
1087.73486,1092.92517,1
1087.803,958.8567,1
1088.3363,1016.46509,1
1088.75452,1055.85437,1
1089.62939,1040.241,1
1089.84717,1086.43616,1
1089.90417,1092.08154,1
1090.2196,983.3282,1
1090.421,946.4976,1
1090.85181,1112.72449,1
1090.90466,918.5833,1
1091.56836,931.3751,1
1092.945,1083.62671,1
1092.94763,961.201233,1
1093.07019,975.077,1
1093.10583,1034.23279,1
1093.4563,918.963,1
1093.639,1021.2016,1
1093.88477,1124.6095,1
1093.91052,971.10144,1
1093.98352,1014.27258,1
1093.98853,1065.00073,1
1094.09106,1026.859,1
1094.33655,1095.07178,1
1094.4353,1043.97644,1
1094.51709,994.116333,1
1094.94226,985.4642,1
1095.27026,1115.475,1
1095.39209,1006.60168,1
1096.12878,1050.71375,1
1096.36462,1074.63416,1
