Ch1 Amplitude,Ch2 Amplitude,Cluster
1028.55908,1009.41949,1
1050.37646,1047.98352,1
1051.90442,1077.74841,1
1053.299,983.213867,1
1054.59717,965.878,1
1054.66711,1088.25745,1
1056.60425,1081.64978,1
1057.31885,962.499268,1
1057.59912,1025.6886,1
1060.4082,916.428467,1
1060.53784,965.2033,1
1062.06763,941.109741,1
1063.04541,1149.37439,1
1063.061,990.919556,1
1066.168,1066.99976,1
1066.26392,990.1736,1
1070.47876,1010.73511,1
1071.18323,999.9659,1
1072.82654,1009.08649,1
1073.38745,935.580261,1
1073.72412,1056.01746,1
1074.82983,1143.47461,1
1076.38806,975.754456,1
1079.47937,1059.85925,1
1079.5824,1126.42847,1
1080.41626,1028.183,1
1082.40833,1089.27649,1
1082.43713,989.6613,1
1082.98511,1055.33826,1
1083.221,958.4143,1
1084.09363,928.847961,1
1084.4386,1049.80847,1
1084.54114,1054.79224,1
1084.679,1057.37134,1
1084.73743,1052.82959,1
1085.1759,1166.37244,1
1086.05225,1009.37842,1
1086.35657,1053.36353,1
1086.46228,1151.35425,1
1086.68408,1053.17859,1
1086.98145,1139.202,1
1087.24011,933.8154,1
1087.47974,1038.97363,1
1087.62463,1076.997,1
1088.784,1156.86462,1
1088.8717,1048.75757,1
1089.20264,1037.85059,1
1089.98718,1075.841,1
1090.15491,1042.61475,1
1091.21082,1100.2876,1
1091.47192,974.7779,1
1091.51685,1081.36438,1
1091.74988,1114.88953,1
1092.12085,1058.63,1
1092.65076,1017.74628,1
1092.6582,1063.28418,1
1092.8905,944.459167,1
1093.63647,1095.91711,1
1093.78821,1065.14063,1
1093.98547,1040.90271,1
1093.98938,1092.06531,1
1094.15869,1001.01251,1
1094.33545,1005.47754,1
1094.44958,1116.06873,1
1094.49622,1128.00452,1
1095.06592,1087.75952,1
1095.074,1056.77124,1
1095.09863,1012.114,1
1095.139,1065.5647,1
1095.149,1114.70862,1
1095.53943,1026.92554,1
1095.6842,1123.86475,1
1095.94714,1131.16321,1
1096.44141,1042.89893,1
1096.533,1097.52832,1
1096.58069,1006.69067,1
1096.98169,1077.86072,1
1097.418,1110.56409,1
1097.5459,1047.83655,1
1097.99341,1088.61487,1
1098.03455,1087.625,1
1098.05859,1086.28992,1
1098.12585,1062.80359,1
1098.19507,1015.1557,1
1098.52808,1105.535,1
1099.06775,1080.48547,1
1099.60168,1064.20264,1
1099.65991,1123.86853,1
1099.84021,1082.27734,1
1100.03821,996.002258,1
1100.08508,994.07135,1
1100.17114,1093.28491,1
1100.52454,1102.40417,1
1100.65454,1094.447,1
1101.0188,1135.314,1
1101.03308,988.315,1
1101.04846,1080.96179,1
1101.21057,1048.42944,1
1101.46606,1063.67432,1
1101.816,974.118042,1
1101.9834,906.2501,1
1102.36719,1144.46643,1
1102.55383,1029.73059,1
1102.60229,1114.27771,1
1102.88037,1113.47827,1
1102.903,1182.25952,1
1102.95129,933.510742,1
1102.97534,1093.90625,1
1103.1261,1041.90784,1
1103.44165,1071.17236,1
1103.61316,1026.73108,1
1103.75854,1153.69031,1
1104.52917,1068.01721,1
1104.69,1008.38379,1
1104.7207,1062.59656,1
1104.857,1040.39636,1
1104.94885,1171.05554,1
1105.14819,904.691467,1
1105.18262,1115.70557,1
1105.20129,1049.25269,1
1105.37268,1010.41943,1
1105.37988,1064.14954,1
1105.40466,1060.07349,1
1105.57788,1023.42542,1
1105.58276,1077.60291,1
1105.68567,941.4729,1
1105.72412,1061.11633,1
1105.79016,1096.64746,1
1105.95544,1129.53308,1
1106.11731,1066.91956,1
1106.25891,1067.46069,1
1106.46643,1034.55286,1
1106.51392,1079.71277,1
1106.60779,1096.41516,1
1106.63879,1189.67712,1
1107.02136,1096.32556,1
1107.024,997.6328,1
1107.08972,1124.542,1
1107.263,1055.26514,1
1107.49512,1067.90857,1
1107.77576,1158.63611,1
1108.0061,1142.74,1
1108.01672,1065.95056,1
1108.05066,1080.3678,1
1108.121,1120.66565,1
1108.25085,1011.12347,1
1108.274,1022.93524,1
1108.42236,1111.03528,1
1108.46313,1082.663,1
1108.49158,1083.46912,1
1108.64331,1081.73633,1
1108.71252,1042.66125,1
1108.72461,1015.67828,1
1108.8429,931.030457,1
1108.84363,1032.30591,1
1108.97314,1040.273,1
1109.49023,987.7231,1
1109.65515,1052.08972,1
1109.71008,1132.83789,1
1109.73425,952.392944,1
1109.75525,1094.06641,1
1109.82568,1093.20068,1
1109.91748,1023.51337,1
1109.92517,1037.26892,1
1110.09961,1032.86841,1
1110.12878,1127.48853,1
1110.40161,1041.22278,1
1110.5802,1136.09973,1
1110.60059,1031.48975,1
1110.63257,991.415344,1
1110.68884,1076.50769,1
1110.87915,940.7803,1
1110.98987,1117.10254,1
1111.00232,1096.83813,1
1111.19934,1080.08508,1
1111.58728,1116.44556,1
1111.68384,1055.46167,1
1111.7323,1049.907,1
1111.81653,1070.72656,1
