Ch1 Amplitude,Ch2 Amplitude,Cluster
1092.64807,1065.3562,1
1093.73,1108.1145,1
1095.74036,1203.52112,1
1095.903,1037.79785,1
1097.95959,1168.488,1
1098.09436,1111.84863,1
1102.00586,1149.29578,1
1102.10156,1151.64233,1
1102.80481,1114.50757,1
1103.87366,1163.34937,1
1104.49072,1145.68066,1
1105.82922,1060.66345,1
1106.557,1086.79614,1
1107.66284,1027.96,1
1108.75134,1120.296,1
1109.34082,1366.17932,1
1109.40784,1242.20837,1
1111.96826,1090.79822,1
1112.17468,1091.63672,1
1115.5365,1207.51843,1
1115.56641,1142.46533,1
1116.5686,1147.32593,1
1116.81238,1083.9895,1
1117.31128,1108.09644,1
1117.42346,1126.78967,1
1117.57825,1190.47485,1
1118.86072,1132.70642,1
1119.14282,1064.129,1
1119.26062,1163.81689,1
1119.60938,1164.53088,1
1119.73511,1150.91516,1
1119.8999,1227.16907,1
1120.09473,1129.44788,1
1121.31873,1155.66089,1
1121.6084,1113.69727,1
1121.91943,1053.7052,1
1122.07214,1138.28674,1
1122.27539,1179.04944,1
1123.12964,1246.00574,1
1123.163,1147.787,1
1123.19617,1203.45251,1
1123.71667,1121.60144,1
1123.932,1128.93518,1
1124.15576,1196.517,1
1124.20349,1131.67468,1
1124.227,1093.46069,1
1124.92578,1147.17651,1
1125.09106,1101.97485,1
1125.5564,1148.6333,1
1125.61707,1166.06665,1
1125.67493,1058.26917,1
1125.87427,1208.92883,1
1126.54041,1140.0636,1
1126.6438,1115.13428,1
1126.649,1121.82935,1
1127.17114,1050.36292,1
1127.46387,1179.108,1
1127.927,1210.1073,1
1128.145,1135.24792,1
1128.31567,1147.7251,1
1128.32776,1153.15112,1
1128.38818,1112.81116,1
1128.98938,1141.81055,1
1129.119,1216.00464,1
1129.78394,1165.01318,1
1131.1897,1106.83752,1
1131.199,1193.73779,1
1131.52881,1203.293,1
1131.69238,1153.319,1
1132.02551,1028.64722,1
1132.16125,1203.53821,1
1132.41406,1129.65881,1
1132.72461,1135.5365,1
1133.07007,1177.83167,1
