Ch1 Amplitude,Ch2 Amplitude,Cluster
990.1817,1147.12891,1
1011.57904,1097.04932,1
1011.684,1120.977,1
1012.70807,1111.72253,1
1017.708,1198.655,1
1020.55078,1113.74329,1
1021.18927,968.211,1
1021.59583,1158.85791,1
1023.61816,1173.23779,1
1023.81122,1078.281,1
1023.83075,1199.096,1
1024.80017,1105.3291,1
1026.80762,1124.08984,1
1028.06543,1113.23071,1
1029.23242,1204.171,1
1030.49731,1169.359,1
1031.22876,1134.75476,1
1032.21252,1183.22986,1
1032.54517,1125.48572,1
1032.766,1079.76917,1
1032.96509,1074.47278,1
1033.128,1117.22827,1
1033.14014,1154.8175,1
1034.00562,1095.37109,1
1034.01123,1095.89587,1
1034.97778,1127.72278,1
1035.283,1106.29822,1
1035.43,1070.91736,1
1036.355,1220.36218,1
1037.52576,1097.32068,1
1038.48865,1156.76428,1
1038.593,1232.46069,1
1039.60535,1105.65845,1
1039.95691,1058.56726,1
1040.983,1143.392,1
1041.22168,1212.29065,1
1041.412,1077.35168,1
1041.97668,1099.07251,1
1042.0293,1131.66833,1
1042.3418,1104.74963,1
1042.61255,1147.85986,1
1043.34473,1152.09985,1
1043.34485,1106.39685,1
1043.38708,1089.19324,1
1043.502,1208.54932,1
1044.04834,1168.54211,1
1044.0675,1086.03223,1
1044.14038,1164.43982,1
1044.22058,1160.09534,1
1044.37024,1118.23169,1
1044.44,1084.2644,1
1044.45032,1070.19446,1
1044.81372,1120.49207,1
1044.82947,1174.62671,1
1044.97119,1148.38965,1
1045.14734,1158.61633,1
1045.3418,1166.03711,1
1045.51636,1163.6311,1
1046.16638,1198.66431,1
1046.71375,1154.22681,1
1047.03723,1220.21973,1
1047.08459,1124.90186,1
1047.51941,1146.17236,1
1047.62512,1015.44611,1
1047.80078,1163.59277,1
1047.85425,1158.76892,1
1048.08093,1072.4624,1
1048.19214,1168.71838,1
1048.31482,1061.72,1
1048.59106,1149.96167,1
1048.65479,1152.39819,1
1048.69666,1153.54675,1
1049.1615,1153.89941,1
1049.29333,1155.90857,1
1049.32117,1134.20447,1
1049.38171,1131.70288,1
1049.50879,1129.55164,1
1049.60181,1176.844,1
1049.76343,1192.92273,1
1050.07446,1114.257,1
1050.30444,1087.681,1
1050.46716,1148.491,1
1050.53467,1121.397,1
1051.05249,1102.79578,1
1051.41541,1128.38171,1
1051.4707,1206.932,1
1051.75293,1174.92688,1
1051.78418,1082.22949,1
1052.00073,1181.72192,1
1052.07178,1146.35608,1
1052.396,1104.55493,1
1052.71436,1140.14429,1
1053.0509,1051.315,1
1053.10059,1132.69849,1
1053.10754,1138.51672,1
1053.2948,1113.37512,1
1053.3,1039.22559,1
1053.42712,1131.75964,1
1053.56555,1110.95947,1
1053.64746,1088.249,1
1053.76208,1066.78638,1
1054.06091,1143.99512,1
1054.18188,1110.75549,1
1054.26831,1160.99292,1
1054.34851,1133.71216,1
1054.37036,1220.45715,1
1054.44373,1144.89392,1
1054.76062,1177.52161,1
1054.76453,1152.62524,1
1054.98413,1197.98633,1
1055.06226,1128.99585,1
1055.07275,1191.41736,1
1055.09375,1115.00732,1
1055.18848,1159.98718,1
1055.20337,1107.09229,1
1055.2959,1116.47522,1
1055.29968,1147.52808,1
1055.32324,1164.10413,1
1055.38477,1157.923,1
