Ch1 Amplitude,Ch2 Amplitude,Cluster
950.3485,1124.96912,1
963.044434,1158.738,1
977.9535,1152.14465,1
978.4171,1205.14221,1
979.107239,1083.4397,1
981.813232,1172.17737,1
982.121033,1114.96667,1
983.94635,1134.65051,1
984.086731,1109.54907,1
986.339233,1138.00769,1
986.4569,1127.10193,1
988.621765,1036.89087,1
989.070068,1098.884,1
990.427246,1133.74207,1
991.0119,1110.71277,1
991.360046,1174.21814,1
992.872559,1156.44934,1
994.3351,1088.945,1
994.465637,1140.221,1
995.1341,1167.41431,1
995.585938,1119.2356,1
996.3777,1111.52979,1
996.3893,1123.917,1
996.671,1103.428,1
997.0147,1122.82,1
999.602,1134.88586,1
999.817444,1076.47925,1
999.8483,1103.39209,1
1000.02075,1137.78516,1
1000.7486,1436.65662,1
1000.89087,1103.40808,1
1000.97339,1096.50232,1
1001.10614,1078.73059,1
1001.11255,1115.64526,1
1001.91107,1137.20374,1
1002.12872,1098.289,1
1003.24182,1193.55835,1
1003.34143,1063.06775,1
1003.41382,1071.99036,1
1003.8161,1128.75049,1
1003.8642,1091.72656,1
1004.08472,1122.072,1
1004.19141,1083.3584,1
1004.31903,1149.47632,1
1004.34222,1420.5719,1
1004.34784,1111.91528,1
1004.77051,1187.11951,1
1004.94531,1117.76282,1
1005.1568,1120.75854,1
1005.41711,1129.88525,1
1005.44519,1146.18713,1
1005.4743,1217.65686,1
1005.53345,1118.247,1
1005.547,1143.99756,1
1005.55786,1111.93884,1
1005.72028,1163.73633,1
1005.882,1004.88263,1
1006.10663,1129.2677,1
1006.4104,1100.0304,1
1006.42609,1066.49023,1
1006.86591,1111.12439,1
1007.04138,1121.273,1
1007.09875,1112.73145,1
1007.14362,1115.271,1
1007.16473,1110.223,1
1007.26129,1108.06482,1
1007.509,1183.84253,1
1007.95959,1191.11328,1
1008.18787,1102.22949,1
1008.3598,1085.72583,1
1008.36578,1034.02246,1
1008.8045,1171.06848,1
1008.84747,1110.18469,1
1008.95624,1157.27112,1
1009.185,1103.36609,1
1009.20807,1116.35852,1
1009.24414,1118.63062,1
1009.36627,1074.30713,1
1009.3869,1142.25464,1
1009.69061,1127.45288,1
1009.77063,1124.75208,1
1009.86639,1109.35559,1
1010.01819,1069.62842,1
1010.13214,1113.78577,1
1010.22687,1119.72546,1
1010.22906,1134.66357,1
1010.37262,1153.27173,1
1010.37335,1097.7146,1
1010.38373,1182.45337,1
1010.48859,1158.78381,1
1010.51007,1182.88318,1
1010.61542,1163.5968,1
1010.75214,1106.72546,1
1011.09503,1506.04761,1
1011.45325,1118.00122,1
1011.50763,1102.24451,1
1011.64972,1138.773,1
1011.744,1073.775,1
1011.87604,1159.61353,1
1011.88269,1125.75562,1
1011.93634,1075.70972,1
1011.97369,1170.62646,1
1012.03241,1046.004,1
1012.17816,1108.59253,1
1012.23474,1138.3949,1
1012.24438,1082.78674,1
1012.38129,1108.36646,1
1012.62018,1056.92969,1
1012.73267,1396.66284,1
1012.78015,1121.14954,1
1013.01581,1118.5918,1
1013.21027,1090.6676,1
1013.2392,1145.38684,1
1013.26715,1127.74109,1
1013.49469,1069.62122,1
1013.71356,1147.76953,1
1013.718,1147.77258,1
1013.99225,1195.69421,1
1014.3808,1155.62854,1
1014.50751,1128.00537,1
1014.61652,1109.174,1
1014.67395,1058.62451,1
1014.71,1208.53589,1
1014.77,1146.8125,1
1014.85925,1510.81506,1
1015.1795,1106.86023,1
1015.24927,1472.044,1
1015.37939,1107.46863,1
1015.55676,1104.784,1
1015.8609,1152.88867,1
1015.88837,1143.73022,1
1015.90369,1155.81555,1
1016.04962,1066.969,1
1016.20227,1468.01233,1
1016.23907,1141.4928,1
1016.3631,1102.69983,1
1016.50867,1152.7489,1
1016.5199,1137.25269,1
1016.77216,1188.96619,1
1016.79437,1128.20972,1
1016.8139,1159.82727,1
1016.92175,1097.33008,1
1017.07544,1212.60156,1
1017.09344,1177.56763,1
1017.32684,1101.29822,1
1017.34637,1118.77368,1
1017.35016,1065.91321,1
1017.37854,1168.16016,1
1017.65082,1070.792,1
1017.65625,1192.63074,1
1017.67957,1125.02356,1
1017.70978,1122.96973,1
1017.97113,1075.04321,1
1018.03156,1140.972,1
1018.06641,1152.92664,1
1018.08673,1444.7196,1
1018.12463,1087.75562,1
1018.17053,1089.38818,1
1018.19025,1176.52185,1
1018.20679,1083.26917,1
1018.24371,1163.96326,1
1018.26593,1145.95471,1
1018.39374,1209.25183,1
1018.45508,1187.007,1
