Ch1 Amplitude,Ch2 Amplitude,Cluster
1039.15417,1135.27515,1
1048.23865,1085.57788,1
1051.34253,1157.00134,1
1056.954,1107.08167,1
1062.58618,1139.44983,1
1062.72021,1062.38257,1
1064.20166,1114.43591,1
1065.16528,948.8401,1
1065.75012,1183.37488,1
1068.943,1132.94226,1
1069.07275,1128.24512,1
1069.44275,1054.27612,1
1071.703,1178.10034,1
1071.7948,1131.23645,1
1073.23743,1206.04712,1
1075.23352,971.3565,1
1078.65649,1154.832,1
1079.145,1177.05957,1
1079.4906,1110.39709,1
1079.99158,1057.4458,1
1080.62122,1156.29358,1
1082.10657,1130.29077,1
1082.597,1141.34863,1
1083.02063,1179.14783,1
1083.9823,1144.30774,1
1085.99341,1067.13342,1
1086.95923,1113.57422,1
1087.15735,1152.71362,1
1087.35046,1121.204,1
1087.5957,1172.018,1
1087.81445,1110.50391,1
1087.82727,1072.376,1
1088.04089,1214.29639,1
1088.271,1073.2146,1
1089.90344,1098.77576,1
1090.80493,1147.16528,1
1090.93616,1176.45471,1
1091.60425,1172.63257,1
1092.86926,1067.95679,1
1093.38,1077.08862,1
1093.74622,1206.60168,1
1093.99524,1195.15784,1
1094.2915,1162.866,1
1094.4303,1159.90649,1
1096.13818,1156.576,1
1096.26416,1195.4408,1
1097.0686,1156.72717,1
1097.19836,1174.88318,1
1097.21863,1138.40991,1
1098.13269,988.3854,1
1098.26563,1187.35352,1
1098.45007,1078.9187,1
1098.52722,1045.4635,1
1098.741,1194.96362,1
1098.77344,1149.2561,1
1098.78638,1123.52527,1
1098.79675,1068.51587,1
1098.977,1150.65015,1
1098.99817,1076.27478,1
1099.39941,1133.54236,1
1099.40308,1096.34363,1
1099.62964,1164.485,1
1099.852,1264.45374,1
1100.25745,1124.664,1
1100.25928,1137.342,1
1100.27185,1123.52673,1
1100.99939,1219.29541,1
1101.0675,1123.36426,1
1101.1792,1122.09277,1
1101.29614,1113.96753,1
1101.4668,1044.09656,1
1101.52051,1106.09229,1
