Ch1 Amplitude,Ch2 Amplitude,Cluster
977.097351,792.0153,1
1000.31476,881.682251,1
1003.18945,840.335449,1
1055.55115,1021.22705,1
1060.66687,940.6611,1
1069.29907,1017.21429,1
1072.41675,1021.8421,1
1073.58325,1052.73291,1
1074.366,980.342468,1
1075.2157,1039.94385,1
1077.20483,1030.24658,1
1079.37976,1024.6709,1
1080.281,1016.54926,1
1082.317,974.802551,1
1083.21912,970.3323,1
1083.29834,1022.36389,1
1083.57007,1009.77374,1
1084.03125,1044.51233,1
1085.38892,1016.68945,1
1085.63208,1071.77356,1
1085.934,1032.119,1
1086.18542,997.057068,1
1086.79968,978.2167,1
1086.87866,933.6117,1
1087.73572,1035.41589,1
1087.79517,981.468262,1
1088.06763,995.64,1
1088.18713,1021.9978,1
1088.85022,1030.25049,1
1089.122,1028.65833,1
1089.43616,1051.61316,1
1090.16479,994.8691,1
1090.72363,991.2783,1
1091.34216,986.923767,1
1091.767,983.1436,1
1091.91956,1016.28125,1
1092.15955,1066.74817,1
1092.24341,962.552063,1
1093.75134,975.3689,1
1093.75684,1024.45593,1
1094.10364,1047.888,1
1094.11292,1008.29572,1
1094.15381,985.8972,1
1094.15942,1031.18909,1
1094.36438,985.5656,1
1094.735,1024.13623,1
1094.95288,1005.87134,1
1095.13074,1036.71313,1
1095.55322,935.240662,1
1096.03931,982.202332,1
1096.25916,1016.43549,1
1096.43311,1087.69141,1
1097.02075,1038.37781,1
1097.08179,909.9367,1
1097.09961,978.0139,1
1097.25671,963.453735,1
1097.34766,1051.62927,1
1097.92651,1018.89874,1
1097.95984,933.3968,1
1098.90845,999.1033,1
1099.10815,994.451,1
1099.51086,981.609558,1
1099.63037,1043.79333,1
1099.99817,1032.92175,1
1100.47363,1005.33215,1
1100.64453,1011.506,1
1100.95972,954.657532,1
1101.07922,1025.4751,1
1101.18982,1046.2738,1
1101.33887,992.500732,1
1101.38257,1089.65137,1
1101.95691,1022.15131,1
1102.11548,1066.74939,1
1102.20581,1013.76251,1
1102.33752,1046.74072,1
1102.531,1013.56445,1
1102.59058,1015.77716,1
1102.63953,1063.52576,1
1102.81665,988.1575,1
1102.87939,953.6382,1
1103.05554,1090.93713,1
1103.15662,1013.12726,1
1103.56152,1060.744,1
1103.71045,971.6699,1
1103.71765,985.2003,1
1103.75269,992.8879,1
1103.83289,1096.79785,1
1104,1072.00293,1
1104.03064,942.578735,1
1104.61047,1072.58057,1
1104.71,1014.58594,1
1104.735,988.3548,1
1104.77771,994.75,1
1104.7998,992.2494,1
1104.86267,1063.40894,1
1104.98254,1112.72717,1
1105.00732,989.1824,1
1105.11194,989.8843,1
1105.1947,1005.01697,1
1105.24426,1048.28223,1
1105.34424,1029.80762,1
1105.40173,1048.86084,1
1105.41553,879.556763,1
1105.466,975.7241,1
1105.48535,941.401733,1
1105.79382,1067.29175,1
1105.8468,993.8816,1
1105.9375,994.336853,1
1105.94446,1142.46448,1
1106.26611,949.161133,1
1106.3551,1073.73279,1
1106.51624,1068.93665,1
1106.52979,1001.90369,1
1106.848,921.366,1
1106.97485,1019.47778,1
1107.09387,985.522034,1
1107.67822,990.3457,1
1107.79126,1042.10876,1
1107.84583,1037.4126,1
1107.93042,1039.37927,1
1107.94836,1068.8208,1
1108.22375,1055.64355,1
1108.24268,961.2493,1
1108.26111,984.9244,1
1108.40125,982.7548,1
1108.45557,1056.68555,1
1108.53491,1071.66028,1
1108.75439,1055.36426,1
1108.75659,1015.71704,1
1108.82751,1048.24561,1
1108.89685,1064.5592,1
1108.99841,976.7135,1
1109.41968,983.2394,1
1109.43921,1072.17493,1
1109.54016,940.8556,1
1109.60925,1026.52332,1
1109.77893,969.8943,1
1109.84692,1037.86963,1
1109.9137,981.3285,1
1109.9635,1056.64014,1
1109.99146,988.7209,1
1109.9978,923.9933,1
1110.12683,958.8148,1
1110.168,969.3884,1
1110.41479,1023.11292,1
1110.68042,1048.178,1
1110.79858,950.7326,1
1110.8811,994.550049,1
1110.94678,1138.5885,1
1111.03235,1096.58447,1
1111.11438,1016.38629,1
1111.14868,957.2369,1
1111.18848,1055.88721,1
1111.19067,1005.40112,1
1111.19434,1014.91284,1
1111.20447,1061.19067,1
1111.3064,974.467163,1
1111.55347,990.8048,1
1111.57617,989.644653,1
1111.66638,1037.85339,1
1111.78723,992.017151,1
1111.79614,1051.5415,1
1111.81665,1060.41077,1
1112.02429,1013.1192,1
1112.0415,950.666931,1
1112.042,1080.6,1
1112.11731,955.4662,1
1112.1322,936.8496,1
1112.24866,1037.48132,1
1112.30249,1031.80859,1
1112.381,1082.532,1
1112.40027,1091.657,1
1112.437,1038.59021,1
1112.44922,1069.53442,1
1112.48694,1016.84485,1
1112.63147,1079.58167,1
1112.73145,989.820068,1
1112.86768,1014.45776,1
1112.91064,1043.8855,1
1112.98108,1028.72644,1
1112.99731,999.902954,1
1113.067,983.46344,1
1113.10449,1061.78235,1
1113.13354,950.895264,1
1113.16125,1044.1875,1
1113.21326,1047.0437,1
1113.28772,1031.81934,1
1113.35425,994.136169,1
1113.58521,964.4732,1
1113.59973,957.0143,1
1113.67859,1020.35962,1
1113.87329,977.9445,1
1113.89844,1156.08032,1
1113.92651,1034.33374,1
1113.93457,951.9766,1
1113.96375,951.5344,1
1114.03772,1016.29926,1
1114.12976,952.019043,1
1114.27991,1026.2345,1
1114.281,968.108032,1
1114.34448,1000.79114,1
1114.34631,923.208069,1
1114.39185,976.4507,1
1114.5929,998.8713,1
